movement, velocity, acc, jerk, ci, weight,evaluatedjoint, pivot
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Back from Etendre right,233.07150660113382,328,4622.51,1.01,54.32,foot right,ankle right
Back from Etendre right,233.07150660113382,328,4622.51,1.01,54.32,foot right,ankle right
Back from Etendre right,0.0,0,713.97,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,713.97,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.01,0.0,foot right,ankle right
movement, velocity, acc, jerk, ci, weight,evaluatedjoint, pivot
Back from Etendre right,39.354180491361404,1,0.34,1.0,1.55,foot right,ankle right
Back from Etendre right,39.354180491361404,1,0.34,1.0,1.55,foot right,ankle right
Back from Etendre right,0.0,0,146.87,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,146.87,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Plie,44.18573884834332,67,1014.69,0.88,1.95,hip right,knee right
Plie,44.18573884834332,67,1014.69,0.88,1.95,hip right,knee right
Plie,19.56099623553268,36,831.12,0.88,0.38,hip right,knee right
Plie,19.56099623553268,36,831.12,0.88,0.38,hip right,knee right
Plie,12.21947257866735,19,338.52,0.89,0.15,hip right,knee right
Plie,12.21947257866735,19,338.52,0.89,0.15,hip right,knee right
Plie,16.92642572738131,10,165.64,0.89,0.29,hip right,knee right
Plie,16.92642572738131,10,165.64,0.89,0.29,hip right,knee right
Plie,3.989514054317741,-10,150.18,0.89,0.02,hip right,knee right
Plie,3.989514054317741,-10,150.18,0.89,0.02,hip right,knee right
Plie,8.917780320035327,14,220.49,0.89,0.08,hip right,knee right
Plie,8.917780320035327,14,220.49,0.89,0.08,hip right,knee right
Plie,9.82501404575353,17,306.6,0.89,0.1,hip right,knee right
Plie,9.82501404575353,17,306.6,0.89,0.1,hip right,knee right
Plie,0.0,0,22.9,0.89,0.0,hip right,knee right
