movement, velocity, acc, jerk, ci, weight,evaluatedjoint, pivot
Etendre right,25.27842955,1,0.12,1.1,0.64,foot right,ankle right
Etendre right,25.27842955,1,0.12,1.1,0.64,foot right,ankle right
Etendre right,25.27842955,1,0.12,1.1,0.64,foot right,ankle right
Etendre right,153.7786677,246,3935.42,1.12,23.65,foot right,ankle right
Etendre right,153.7786677,246,3935.42,1.12,23.65,foot right,ankle right
Etendre right,153.7786677,246,3935.42,1.12,23.65,foot right,ankle right
,89.52854861,123.5,1967.77,1.11,12.145,,
