movement, velocity, acc, jerk, ci, weight,evaluatedjoint, pivot
Etendre right,32.5836407,1,0.26,1.05,1.06,foot right,ankle right
Etendre right,32.5836407,1,0.26,1.05,1.06,foot right,ankle right
Etendre right,32.5836407,1,0.26,1.05,1.06,foot right,ankle right
Etendre right,43.64419096,93,1984.52,1.04,1.9,foot right,ankle right
Etendre right,43.64419096,93,1984.52,1.04,1.9,foot right,ankle right
Etendre right,43.64419096,93,1984.52,1.04,1.9,foot right,ankle right
,38.11391583,47,7409.736667,1.041034483,1.48,,
