timestamp, velUL, velUR, velKL, velKR, velHL, velHR,accUL, accUR, accKL, accKR, accHL, accHR,jerUL, jerUR, jerKL, jerKR, jerHL, jerHR,weiUL, weiUR, weiKL, weiKR, weiHL, weiHR,CI
20:19.0,1,2,6,2,43,2,5.7559,15.3163,24.5225,8.344,61.3459,25.8341,16.1857,73.3189,71.7882,13.3066,256.9043,41.0921,1,4,36,4,1849,4,0.98
20:19.1,2,0,3,3,21,2,9.4925,13.1989,36.26,4.8341,130.4239,3.0479,2.4413,53.5943,93.2753,13.1019,507.8213,30.8922,4,0,9,9,441,4,0.98
20:19.1,7,2,14,13,102,14,29.3212,15.1437,63.669,63.4022,488.5934,70.2984,42.1663,3.4059,123.589,87.8096,644.2501,88.4986,49,4,196,169,10404,196,0.97
20:19.2,3,4,17,10,24,3,34.2321,27.5524,73.5168,21.4865,475.111,63.9965,64.7583,42.8393,58.8426,38.7276,517.3,97.3907,9,16,289,100,576,9,0.97
20:19.2,9,1,13,5,29,8,47.847,29.7877,61.7838,31.5515,35.6254,28.7724,34.196,49.4865,184.8947,142.2837,685.2776,64.2072,81,1,169,25,841,64,0.97
20:19.3,1,5,5,3,17,15,63.3018,34.0228,57.6597,11.8919,72.6722,41.0567,50.5699,61.0119,194.8715,24.8624,612.7272,157.5235,1,25,25,9,289,225,0.97
20:19.3,3,2,9,0,72,2,14.9569,19.1139,68.652,27.5827,541.3207,101.5448,93.8129,48.1547,127.185,13.7445,859.7634,194.1317,9,4,81,0,5184,4,0.97
20:19.4,0,2,5,1,47,6,17.7443,10.2676,49.7522,1.3184,154.4126,27.8873,120.5098,60.6894,143.2551,18.0127,337.4489,102.224,0,4,25,1,2209,36,0.97
20:19.4,2,1,6,1,36,1,10.4517,19.666,64.5396,16.52,498.8218,46.6753,7.1257,39.6577,173.6401,59.9826,1559.7141,221.6815,4,1,36,1,1296,1,0.97
20:19.5,9,7,2,0,19,5,44.9307,41.5542,43.5124,8.5617,336.8251,36.8273,93.0359,75.2817,98.7001,11.3568,736.8137,13.842,81,49,4,0,361,25,0.97
20:19.5,3,5,2,0,18,6,41.6132,16.5581,13.4445,3.1186,16.1274,15.5801,77.86,53.7791,95.1286,27.1408,740.996,85.2681,9,25,4,0,324,36,0.97
20:19.6,2,2,4,2,43,7,3.3735,27.9842,15.1403,11.8923,149.6946,18.4026,72.0698,101.812,63.4821,8.3266,283.2218,64.0005,4,4,16,4,1849,49,0.98
20:19.6,0,0,7,0,16,1,14.3001,13.0443,30.5275,11.7036,360.5706,41.8452,45.9014,32.1829,32.6526,18.1038,532.7947,80.6917,0,0,49,0,256,1,0.98
20:19.7,0,0,11,15,88,7,3.1032,6.7988,88.2484,92.09,631.2477,36.9325,6.6026,38.1993,130.8896,120.5238,723.0947,33.3914,0,0,121,225,7744,49,0.98
20:19.7,0,3,2,3,3,1,4.6383,19.2413,54.9964,73.569,552.4239,40.6125,25.8974,33.7753,65.5297,92.9666,289.9196,66.8507,0,9,4,9,9,1,0.98
20:19.8,0,0,0,1,16,2,5.9444,17.5542,17.2289,21.249,79.9087,13.619,10.7048,26.0436,156.1394,169.3743,1066.5645,67.7286,0,0,0,1,256,4,0.98
20:19.8,0,0,2,2,41,1,1.6095,4.0095,13.9524,15.3465,152.7835,21.4658,7.533,31.7665,62.1101,93.796,599.568,82.1093,0,0,4,4,1681,1,0.98
20:19.9,1,0,18,2,9,1,7.3493,3.1221,114.8506,21.6296,298.8482,15.1876,10.9453,23.7712,187.0762,63.4919,567.305,24.287,1,0,324,4,81,1,0.98
20:19.9,4,3,10,9,133,12,25.6246,19.2835,111.6229,66.9754,848.9384,80.8764,40.3571,24.7829,152.5144,82.8479,1044.2663,106.683,16,9,100,81,17689,144,0.98
20:20.0,0,4,13,0,10,7,28.7052,14.705,91.168,59.4378,864.8835,117.8881,46.899,19.8175,107.5587,61.3328,855.2135,154.8519,0,16,169,0,100,49,0.98
20:20.0,5,5,11,1,81,35,34.2275,26.9689,116.5772,9.8363,548.4541,256.9497,22.6003,57.6921,82.7152,86.3272,451.1153,264.3073,25,25,121,1,6561,1225,0.98
20:20.1,2,12,1,3,50,2,37.6625,48.4077,72.449,13.9274,790.2285,222.9864,17.2485,53.0522,120.1737,107.1851,114.2096,158.3287,4,144,1,9,2500,4,0.98
20:20.1,10,11,4,1,17,4,60.9293,109.9738,29.6451,14.4329,206.9368,13.9512,43.7097,178.7484,142.7392,35.1146,515.1546,401.0639,100,121,16,1,289,16,0.97
20:20.2,6,14,2,3,7,3,46.0064,32.7644,11.9942,15.7031,133.1879,8.6215,13.0128,39.8972,107.2234,15.1812,1384.8366,340.6628,36,196,4,9,49,9,0.97
20:20.2,8,17,11,3,9,10,30.9984,72.2267,52.4606,6.3118,91.191,45.0784,132.4849,231.4178,40.9656,18.8699,446.4128,54.2649,64,289,121,9,81,100,0.97
20:20.3,7,19,7,1,47,28,10.5228,59.0652,53.5242,18.0985,229.1388,109.3732,74.7518,101.0206,64.9179,49.8785,543.1467,171.1573,49,361,49,1,2209,784,0.97
20:20.3,5,20,10,0,9,6,21.3419,53.7587,51.4196,6.1713,259.9408,127.9443,60.4316,166.4361,74.0425,15.9848,526.3575,258.025,25,400,100,0,81,36,0.97
20:20.4,6,11,9,1,63,7,15.8268,76.5068,69.7176,7.3606,352.918,6.2954,28.2294,183.3689,24.5266,17.0485,186.1868,157.6753,36,121,81,1,3969,49,0.97
20:20.4,2,6,4,4,5,4,31.5698,35.0044,35.8581,20.6501,395.0815,56.37,60.1828,109.105,84.1128,38.8234,229.0445,120.0874,4,36,16,16,25,16,0.96
