"","datasetp2$jerKR"
"1",0.030389106520972
"2",0.020205880210669
"3",0.0126140353944991
"4",0.0386211481106306
"5",0.0534480591212688
"6",0.038200454454893
"7",0.0856041505943947
"8",0.0688943208559493
"9",0.131896589825889
"10",0.064771429401494
"11",0.0939093874276842
"12",0.159637559624314
"13",0.09882621871251
"14",0.0380247087645797
"15",0.0380876049032001
"16",0.102094807667656
"17",0.0807723833079046
"18",0.129775304646287
"19",0.151526683975956
"20",0.1344952412765
"21",0.0664339362669903
"22",0.0858361282965569
"23",0.0796353510996566
"24",0.112473358982878
"25",0.138496388497662
"26",0.105402032035449
"27",0.0712250854254308
"28",0.0543208669643402
"29",0.119564540622052
"30",0.0766353925439161
"31",0.218274357417772
"32",0.0942979996466911
"33",0.0988586030640939
"34",0.0727714106758485
"35",0.0671783082122833
"36",0.0831179080920536
"37",0.067523300692422
"38",0.0186775370874489
"39",0.0524714616343881
"40",0.0190238789155703
"41",0.0511931058782417
"42",0.0288477931344899
"43",0.0164878206887265
"44",0.0884555707211866
"45",0.0253913969703283
"46",0.0400029630580191
"47",0.0438419131441226
"48",0.0207453164888809
"49",0.0462229615792438
"50",0.0907719881417096
"51",0.088793430933417
"52",0.108077981849067
"53",0.180919062941163
"54",0.0525414900409169
"55",0.0148672537615485
"56",0.218144875086864
"57",0.142288909998077
"58",0.244656093194233
"59",0.299198445991727
"60",0.156999253865641
"61",0.282536311573812
"62",0.285984831951789
"63",0.225981667868458
"64",0.141337316755446
"65",0.159562904881845
"66",0.0366268393299689
"67",0.0676367285361075
"68",0.0825024677233897
"69",0.13664117271007
"70",0.108606568267989
"71",0.173053025107373
"72",0.104545333755028
"73",0.0294420019257123
"74",0.0645837598810481
"75",0.0888078882332312
"76",0.0421595240491675
"77",0.120298117783484
"78",0.0805907720845237
"79",0.0826169695379185
"80",0.158992433600032
"81",0.150850633098928
"82",0.0426508244034264
"83",0.109083962076713
"84",0.0561628646492446
"85",0.00926597259694549
"86",0.0234165848911303
"87",0.0416064566025593
"88",0.0301981600125682
"89",0.0247950677751331
"90",0.0396473410203026
"91",0.0363404471050772
"92",0.0156721536020638
"93",0.0812746436723084
"94",0.0729619165808293
"95",0.0505418389437524
"96",0.150452355142331
"97",0.177053070819978
"98",0.163254335434415
"99",0.126684581785427
"100",0.142663725822404
"101",0.206781437432868
"102",0.182517875074335
"103",0.106629167643682
"104",0.112596177187014
"105",0.166795107154064
"106",0.053926306599124
"107",0.200637690841521
"108",0.0790290532520181
"109",0.0256714279833017
"110",0.0927905025729175
"111",0.0557561050767566
"112",0.129202024517653
"113",0.1379708863027
"114",0.214495825076035
"115",0.207224409099177
"116",0.170466985929743
"117",0.256172420235979
"118",0.1574905542199
"119",0.131353766408863
"120",0.0722062266351103
"121",0.0602803862494832
"122",0.0966524191124402
"123",0.194169990583479
"124",0.0762401712735656
"125",0.0707435609596177
"126",0.105403519072001
"127",0.174503436500166
"128",0.0995295870017584
"129",0.281867282813837
"130",0.0276950919670148
"131",0.130350595028038
"132",0.0687876122144632
"133",0.0807599637989213
"134",0.0591568750587758
"135",0.102010129197316
"136",0.0613526222168493
"137",0.113935473904092
"138",0.0314827392920632
"139",0.131036807321507
"140",0.101096593075339
"141",0.159056403709495
"142",0.174009657751653
"143",0.0943085190534131
"144",0.160959672807898
"145",0.12257603747993
"146",0.0179448135951491
"147",0.0761907135393439
"148",0.122736169286444
"149",0.0896944924709825
"150",0.048256291300547
"151",0.176145813296778
"152",0.160022123799373
"153",0.110860530153315
"154",0.137578969558021
"155",0.206509337281507
"156",0.0907803596067449
"157",0.245340983677433
"158",0.168459101056113
"159",0.235863521437491
"160",0.101644483431728
"161",0.08567800674316
"162",0.116827787536073
"163",0.0874448264690303
"164",0.0295830500964715
"165",0.0308723107873349
"166",0.0831063147144883
"167",0.0404523234739597
"168",0.136147586725555
"169",0.179348945105908
"170",0.207770564579588
"171",0.232221383392858
"172",0.256242999396786
"173",0.183770675831952
"174",0.0751447210133548
"175",0.102374590841204
"176",0.060620091488547
"177",0.250948433289957
"178",0.0606504655870139
"179",0.218932811695598
"180",0.17716374489227
"181",0.243248916012313
"182",0.137331928726338
"183",0.213620235923857
"184",0.28725572498746
"185",0.0974903642096738
"186",0.199367761625838
"187",0.125945111553214
"188",0.156097421272085
"189",0.0818850446393227
"190",0.160333795645654
"191",0.107168356082468
"192",0.178588463597965
"193",0.212663988807572
"194",0.17020215573486
"195",0.0967927513026371
"196",0.202528898421222
"197",0.157838630923999
"198",0.100423075667993
"199",0.0420365681564616
"200",0.038728104591542
"201",0.0230753375400863
"202",0.0699316940774776
"203",0.030456215929824
"204",0.0406598476861505
"205",0.034472068290226
"206",0.0307844930176061
"207",0.0784554702085307
"208",0.0609070895431452
"209",0.0646449486814048
"210",0.0241253505723094
"211",0.108858868803033
"212",0.0457682863845143
"213",0.185718693715494
"214",0.0578260874953031
"215",0.153905474318535
"216",0.137439931640379
"217",0.0602455510413593
"218",0.26853839590338
"219",0.357532631846788
"220",0.20362377038944
"221",0.354720783414916
"222",0.217607228760058
"223",0.0477498176659116
"224",0.09924027577919
"225",0.0306735435681745
"226",0.0927396404152852
"227",0.134237433198669
"228",0.0879078180533673
"229",0.343237529167602
"230",0.332978326304561
"231",0.379676974354265
"232",0.400888421726871
"233",0.10893938907857
"234",0.150001480152124
"235",0.0589240161497677
"236",0.091770560724308
"237",0.0338681662236996
"238",0.019047065670701
"239",0.0315647466041524
"240",0.0350696091448342
"241",0.0177572542255589
"242",0.0195121225835828
"243",0.0349811029322571
"244",0.0435993884975244
"245",0.0305582431599417
"246",0.0359979330191923
"247",0.00156516104674706
"248",0.0568726216881252
"249",0.115966545532853
"250",0.0381896045956039
"251",0.155491508952442
"252",0.0804873955064234
"253",0.183134086498989
"254",0.114386624271438
"255",0.0662562353989878
"256",0.248574902650739
"257",0.0440365497061932
"258",0.31153627811549
"259",0.256821098625359
"260",0.0659910747515375
"261",0.15592005085665
"262",0.0490018749052531
"263",0.113884529133318
"264",0.0363527564632047
"265",0.143985481015707
"266",0.0795750985815737
"267",0.0522092475223286
"268",0.155507260524811
"269",0.136461186211812
"270",0.10143803319038
"271",0.0550893068716097
"272",0.0646044682419249
"273",0.109691113593483
"274",0.0708258987242741
"275",0.0344651838617431
"276",0.0836586937182481
"277",0.051632910707448
"278",0.0400967014362432
"279",0.0433888626745151
"280",0.0143617439469007
"281",0.0238102640495007
"282",0.0218909680015895
"283",0.0225398666926806
"284",0.0434601027404569
"285",0.0160042033566546
"286",0.00767930459561762
"287",0.0572776463846355
"288",0.114146247566527
"289",0.153320187746626
"290",0.170203890610837
"291",0.196848639093062
"292",0.108494434696859
"293",0.163506333054606
"294",0.188934933476456
"295",0.225536190270182
"296",0.153847755270133
"297",0.353128057116523
"298",0.355915396982996
"299",0.435359443583967
"300",0.315943193551438
"301",0.387948174573134
"302",0.116775989096167
"303",0.0541377411666931
"304",0.137787677891911
"305",0.0511402885429204
"306",0.182734128741842
"307",0.0803390223037583
"308",0.0422999388525062
"309",0.0960162703828995
"310",0.083544329592289
"311",0.212206697530019
"312",0.0719866409042174
"313",0.156160372486134
"314",0.248108523927589
"315",0.257516591128423
"316",0.0733944239158437
"317",0.12385637595148
"318",0.212715649558908
"319",0.0947479383546243
"320",0.0487656288574313
"321",0.203294116415961
"322",0.190713787183315
"323",0.0602005819545085
"324",0.133536873756242
"325",0.0851465564019884
"326",0.0508163348762256
"327",0.0658948579790595
"328",0.0288798194957927
"329",0.121366663697183
"330",0.239299071552206
"331",0.0557486974317089
"332",0.271786304035363
"333",0.193798809737391
"334",0.179982477752625
"335",0.10056803419413
"336",0.2351867545799
"337",0.12599523019257
"338",0.104421799570329
"339",0.195348191674055
"340",0.0888781369414715
"341",0.145124798854211
"342",0.0961181048490197
"343",0.0633601491001983
"344",0.0830734622217675
"345",0.0644538920221453
"346",0.093789791136078
"347",0.0404405924078247
"348",0.260193862752309
"349",0.123419793034803
"350",0.202420978120322
"351",0.149161001585209
"352",0.224105964021701
"353",0.262960989936755
"354",0.374125068310742
"355",0.185032894487735
"356",0.320795972113659
"357",0.132557990639105
"358",0.208188256624507
"359",0.185079350611138
"360",0.155280046847159
"361",0.134193400394092
"362",0.164743685154708
"363",0.12446920023732
"364",0.0890634106808053
"365",0.107544906782773
"366",0.133871429442801
"367",0.194006278874154
"368",0.0945118850708001
"369",0.105609060568789
"370",0.104784939403949
"371",0.111979057017801
"372",0.151900315678584
"373",0.113520838545419
"374",0.205730212741232
"375",0.0924212493668047
"376",0.274806612961699
"377",0.221215550491982
"378",0.0792213766461185
"379",0.147737990217778
"380",0.102540560643072
"381",0.210011693890221
"382",0.126079165144634
"383",0.107406529770265
"384",0.192822157175082
"385",0.0768669296426555
"386",0.151972051423376
"387",0.128547976274056
"388",0.109260093295021
"389",0.0492187068647528
"390",0.0315800024976707
"391",0.0235131045784616
"392",0.0579224694940647
"393",0.0838376613210915
"394",0.0803393802940394
"395",0.108500492993924
"396",0.0636301563853005
"397",0.143044324566656
"398",0.06159495409945
"399",0.0602928608338943
"400",0.169503221017554
"401",0.0557882966643429
"402",0.159580776858186
"403",0.0464630353693021
"404",0.109474722237406
"405",0.0373454910504495
"406",0.0628260826762032
"407",0.0548608264591168
"408",0.0658408565220391
"409",0.0563152308204297
"410",0.128092254646198
"411",0.0325099510971507
"412",0.127996643703426
"413",0.00295366765862102
"414",0.00108917166143427
"415",0.0145547282461354
"416",0.0200723222980993
"417",0.0275562192756562
"418",0.0207427279437713
"419",0.0927693811463317
"420",0.234572856323217
"421",0.287925276964
"422",0.070176586967474
"423",0.138663983024652
"424",0.345848076910632
"425",0.139155806595475
"426",0.4694607165561
"427",0.479008482579711
"428",0.533442144020316
"429",0.577314651564617
"430",0.523134832771036
"431",0.0764050671045897
"432",0.177601980071783
"433",0.0609490294814635
"434",0.251362407743495
"435",0.378884576635874
"436",0.295486967983415
"437",0.553821456753328
"438",0.27332400998132
"439",0.258159982276727
"440",0.190262416514257
"441",0.252670752070113
"442",0.566130594579173
"443",0.188824121715594
"444",0.518843382969604
"445",0.0886195302699371
"446",0.0323955043580498
"447",0.207993317147583
"448",0.032736256030243
"449",0.106466254528061
"450",0.0195638384103469
"451",0.0366463360314327
"452",0.108510323957797
"453",0.0664162845923599
"454",0.168238551505232
"455",0.358434464440343
"456",0.260714270470194
"457",0.856569982212014
"458",0.59810375301865
"459",0.674776211325518
"460",0.591195559488553
"461",0.505324265531305
"462",0.796844012757121
"463",0.332513076627682
"464",0.579342253441422
"465",0.342877446020229
"466",0.220051338560083
"467",0.133540949337904
"468",0.0755740890489809
"469",0.0910929677352998
"470",0.0666800132786857
"471",0.194019552052269
"472",0.124751048739413
"473",0.333738725199363
"474",0.273835165027324
"475",0.404240973171795
"476",0.386387226796619
"477",0.248552321725315
"478",0.236747482054705
"479",0.159788493834375
"480",0.10916035169516
"481",0.188469876563574
"482",0.0720858042120861
"483",0.15180475981124
"484",0.126212172302925
"485",0.105249913703689
"486",0.0264181957097068
"487",0.0409533446412366
"488",0.0194800411468522
"489",0.0116059623005943
"490",0.0171509563779204
"491",0.0510359756825463
"492",0.0360607465446709
"493",0.033400190313141
"494",0.0767203739291099
"495",0.0692845578000781
"496",0.0450700401100572
"497",0.145774799053859
"498",0.342229703913123
"499",0.261773288334873
"500",0.332266614087992
"501",0.189536246997873
"502",0.279921881013118
"503",0.197308739217436
"504",0.145202537820641
"505",0.290203664801583
"506",0.246223787710662
"507",0.219038997120519
"508",0.245158078181498
"509",0.410358200944626
"510",0.171519559969362
"511",0.53442716804766
"512",0.271926085471281
"513",0.44032430064189
"514",0.288793981687696
"515",0.541810221916798
"516",0.849903707498809
"517",0.270865773334047
"518",0.466195432126626
"519",0.408276129469664
"520",0.212805890647463
"521",0.0430409511966996
"522",0.045955212386684
"523",0.0418775378585049
"524",0.509512861971202
"525",0.584036249545111
"526",0.472709258055504
"527",1
"528",0.448254749188567
"529",0.709781822823175
"530",0.415685454317893
"531",0.517081740333953
"532",0.349815738271653
"533",0.299417508506056
"534",0.46308631407286
"535",0.381333698299835
"536",0.140519694491094
"537",0.0541515926368008
"538",0.0793559259163897
"539",0.391840355060268
"540",0.365891374458247
"541",0.473377267920064
"542",0.38286760404127
"543",0.297853999722144
"544",0.346182494908621
"545",0.177482053327609
"546",0.398518470990464
"547",0.0477978434390089
"548",0.0580180253614084
"549",0.1912330107795
"550",0.0615138555319205
"551",0.0210942743998259
"552",0.0648363633309454
"553",0.0640781949909725
"554",0.130086701115429
"555",0.110359343759754
"556",0.311298187040834
"557",0.214465864043277
"558",0.313780987328934
"559",0.300784783540488
"560",0.358667929179058
"561",0.15908347328229
"562",0.278842870768125
"563",0.361135886639348
"564",0.311624756790353
"565",0.258828542895566
"566",0.268875898125329
"567",0.201509479789177
"568",0.108064130378959
"569",0.0226012207193209
"570",0.155192284152858
"571",0.188943277403777
"572",0.395643671344544
"573",0.415051288303755
"574",0.608247517784888
"575",0.414333875780402
"576",0.355678682794037
"577",0.294512518438221
"578",0.351645371523002
"579",0.160842940438541
"580",0.285141131472344
