 velKR, accKR, jerKR, weiKR
14,90.0098,127.3213,196
16,54.4599,61.1305,256
10,37.7274,45.3608,100
12,64.5321,107.05,144
14,90.0152,138.0852,196
11,68.1704,134.0053,121
12,71.9424,160.3813,144
11,56.0965,145.6583,121
14,13.4733,41.8524,196
15,38.7569,97.4897,225
22,139.3039,209.9214,484
11,64.1281,68.8212,121
87,542.6889,909.965,7569
33,326.7569,358.006,1089
49,133.7108,717.4358,2401
43,47.5277,447.5022,1849
67,192.1726,136.6703,4489
99,303.2478,488.7668,9801
145,490.0948,724.6305,21025
48,624.5346,1130.1047,2304
103,799.3726,1268.3814,10609
93,381.417,970.6481,8649
40,350.6676,1651.7211,1600
98,436.7381,360.2411,9604
172,467.9841,1076.3144,29584
201,962.5887,2123.2664,40401
83,578.5855,2249.4266,6889
77,189.4855,839.79,5929
96,446.1554,659.0844,9216
119,758.2126,439.6967,14161
38,112.2609,2277.5728,1444
21,106.9891,719.7833,441
29,81.2256,93.895,841
31,36.8959,144.2285,961
28,43.0271,172.562,784
10,107.0241,197.6947,100
12,66.2779,133.3272,144
11,16.3702,72.6054,121
21,64.5785,39.5038,441
11,80.9306,144.9969,121
20,88.8983,96.7136,400
15,28.1392,83.5471,225
20,76.2456,120.8848,400
20,47.1786,52.6904,400
50,226.9637,363.4992,2500
16,204.6531,280.0498,256
10,64.8578,404.9949,100
12,131.752,190.8292,144
16,52.4323,40.5902,256
19,119.8018,102.6542,361
72,319.5671,402.7873,5184
92,124.3138,147.4755,8464
57,293.3307,889.7863,3249
45,75.5242,293.6335,2025
45,44.0439,379.9418,2025
15,280.8139,311.5989,225
125,360.4257,1507.5977,15625
73,458.0734,711.9478,5329
106,212.894,554.1091,11236
113,909.3471,880.929,12769
92,230.2524,235.0669,8464
31,446.2853,1901.9972,961
22,266.986,688.2576,484
122,151.3947,1232.1602,14884
86,569.7661,1953.2052,7396
134,567.9617,637.9024,17956
60,578.9107,2696.2709,3600
65,122.1776,1822.0101,4225
107,442.8826,756.4427,11449
49,347.4059,694.2557,2401
17,199.1179,891.467,289
15,162.9478,340.3549,225
14,30.6852,308.1109,196
12,21.3459,246.9478,144
12,98.94,141.9445,144
10,68.6635,115.345,100
11,79.2659,117.8074,121
