 velKR, accKR, jerKR, weiKR
26,134.9203,101.1955,676
25,149.214,189.5698,625
15,83.2751,101.9645,225
21,56.5502,256.8588,441
16,71.5992,203.5851,256
10,34.063,84.1551,100
12,66.6656,77.5192,144
26,135.3003,97.3658,676
72,274.5198,366.2947,5184
52,175.3919,440.7648,2704
51,100.2941,507.3957,2601
64,78.6679,309.0117,4096
48,95.4257,205.7338,2304
51,538.5188,913.656,2601
67,957.2295,1982.7586,4489
74,486.4327,898.501,5476
72,129.4924,1599.5405,5184
41,384.7199,1306.6387,1681
29,130.0023,235.7131,841
15,263.6185,844.8131,225
28,125.4145,74.0668,784
72,291.2905,150.5956,5184
111,244.943,244.4203,12321
43,503.5474,1192.2025,1849
168,830.9723,1232.7842,28224
118,135.9421,1385.1523,13924
50,450.2103,1483.7968,2500
95,278.2378,402.1702,9025
105,167.1663,759.499,11025
86,150.0519,566.7415,7396
77,109.8591,236.2399,5929
93,192.9618,466.2269,8649
112,213.5407,195.1766,12544
38,631.2487,1157.8021,1444
134,689.4629,972.2101,17956
96,922.4896,1200.647,9216
192,614.4307,1707.6462,36864
31,971.2326,902.6156,961
31,301.5404,1354.8833,961
24,334.4586,1723.703,576
24,75.0539,515.2003,576
87,574.8791,1025.2287,7569
38,513.8071,674.3521,1444
70,389.1051,570.8425,4900
138,633.8056,967.6265,19044
185,869.9362,785.8527,34225
88,713.763,1633.703,7744
102,493.1659,1893.3347,10404
64,227.468,859.4099,4096
85,135.8832,578.1035,7225
132,441.3342,799.8176,17424
158,261.4228,398.5682,24964
83,450.9524,1298.1077,6889
208,770.7991,803.595,43264
82,794.968,546.7351,6724
111,361.0905,1253.0126,12321
98,87.2938,1158.8764,9604
168,523.8918,675.9792,28224
105,576.1999,1593.6619,11025
73,590.1725,903.1107,5329
68,727.1562,1791.0351,4624
130,783.4934,380.3412,16900
114,624.0154,1832.5757,12996
89,177.8573,1374.5845,7921
228,846.4291,1330.0977,51984
127,613.6323,741.9737,16129
160,360.3979,1154.2753,25600
189,353.7546,1068.0804,35721
173,772.4078,1243.7057,29929
168,149.3071,629.9666,28224
178,310.6162,730.7708,31684
150,255.6376,279.4254,22500
87,462.5512,1097.2458,7569
150,297.9585,1070.9122,22500
89,658.4249,1420.5446,7921
82,311.2489,803.5065,6724
39,417.2604,1318.6054,1521
26,337.7693,877.4024,676
34,322.7104,350.8343,1156
106,643.604,1436.5177,11236
28,299.3643,572.496,784
22,124.5989,1735.5313,484
22,75.7568,418.2406,484
54,267.5623,512.6879,2916
151,645.7858,999.9478,22801
161,880.0952,1598.3324,25921
102,483.8636,1617.2962,10404
57,303.5403,1713.9804,3249
78,264.2188,1006.9008,6084
31,293.4604,324.4724,961
56,184.4318,386.7535,3136
53,155.5899,389.1818,2809
43,85.0362,359.8106,1849
18,152.0465,361.91,324
16,12.5062,113.5957,256
13,58.0385,102.2228,169
18,102.2355,273.1942,324
27,58.1909,65.5854,729
16,141.67,318.1607,256
11,45.2595,136.5717,121
12,72.8761,174.2967,144
13,32.5843,55.0446,169
10,27.8617,45.7323,100
18,90.2063,82.8735,324
13,58.968,79.1137,169
13,79.082,111.0539,169
14,74.0258,76.1937,196
75,393.7885,622.5561,5625
41,222.3122,383.6808,1681
28,84.0404,711.7055,784
77,348.1898,741.2555,5929
103,172.2477,377.6923,10609
68,225.6096,817.3312,4624
186,962.2597,1495.7635,34596
90,783.5188,1273.8401,8100
68,488.3858,1514.7737,4624
88,928.4363,935.6511,7744
75,117.4555,2068.0774,5625
24,60.2167,2794.0682,576
76,349.2758,551.151,5776
83,122.1528,2024.778,6889
72,72.0985,1623.5371,5184
33,306.6892,377.6999,1089
59,177.5299,339.1616,3481
48,169.5303,232.1659,2304
39,59.3814,331.1715,1521
28,74.9928,304.6437,784
36,88.3864,200.7974,1296
13,138.0952,100.9081,169
14,36.1956,106.3235,196
20,40.8154,263.658,400
20,11.817,49.9927,400
13,91.4393,192.2672,169
14,59.3933,100.8532,196
22,81.0449,140.5789,484
27,49.7826,55.9271,729
17,65.3199,181.325,289
14,64.0243,103.9568,196
14,56.7881,35.0982,196
26,87.0303,138.7681,676
63,219.5746,268.859,3969
76,123.0432,165.6141,5776
56,135.8361,527.6365,3136
76,161.9617,84.6101,5776
149,454.3464,854.5103,22201
83,385.6687,1520.9884,6889
53,257.7381,1183.7249,2809
25,274.8496,895.9838,625
31,306.9008,256.1328,961
93,523.685,606.4196,8649
39,452.7733,930.0831,1521
76,276.5655,445.9313,5776
210,921.5455,2048.4227,44100
127,930.2504,1702.2185,16129
111,447.9127,1171.5933,12321
72,239.6602,1222.1044,5184
63,61.1766,711.34,3969
44,292.7887,274.3414,1936
50,70.2469,185.2732,2500
47,72.991,338.698,2209
35,74.448,191.9618,1225
30,70.3795,203.3335,900
24,62.0942,89.9974,576
32,50.1323,148.0963,1024
19,101.7097,180.3859,361
27,88.6042,114.5487,729
11,120.8808,32.759,121
23,104.1674,53.1254,529
34,88.0419,304.6722,1156
11,146.8981,371.6597,121
28,127.0596,225.9182,784
13,95.2923,175.1617,169
18,67.7636,235.7237,324
10,62.5294,113.7421,100
27,105.2319,147.119,729
60,200.4883,209.5471,3600
61,84.5443,221.0853,3721
59,50.3882,341.5851,3481
55,35.3839,156.0232,3025
81,245.4969,312.6325,6561
123,284.7032,479.3506,15129
36,850.9576,1522.5347,1296
177,860.7547,1621.7292,31329
232,937.6963,2683.9889,53824
132,633.0324,1558.71,17424
44,604.6661,2294.4552,1936
103,789.1927,378.7424,10609
73,295.3642,1220.5113,5329
45,800.9559,1377.9924,2025
50,300.9004,2571.4592,2500
85,581.8035,987.5683,7225
92,125.3419,339.518,8464
137,382.7592,934.8927,18769
222,832.0363,1210.3596,49284
131,569.938,1199.4891,17161
68,426.2735,1753.7,4624
80,319.7601,926.8604,6400
104,144.7239,851.1947,10816
86,217.567,504.9579,7396
77,54.1628,297.1275,5929
98,255.9759,279.9837,9604
85,90.4173,107.6726,7225
37,316.6912,724.5187,1369
65,178.6399,402.8237,4225
166,605.5136,1312.7882,27556
52,694.4072,1305.7728,2704
85,215.7617,718.1888,7225
114,379.7375,1043.6436,12996
121,120.3716,355.3319,14641
90,187.4398,798.1774,8100
210,727.1495,991.0851,44100
93,773.9578,914.1848,8649
121,189.7276,822.604,14641
105,348.4983,1280.7563,11025
136,371.2148,598.8231,18496
56,493.0598,970.2724,3136
151,796.6527,882.4355,22801
49,718.1808,1271.562,2401
50,306.8069,1025.3641,2500
15,231.0751,736.5324,225
28,223.6482,588.6267,784
94,419.3649,291.2686,8836
68,255.7068,683.436,4624
81,111.1919,515.2731,6561
105,496.6497,540.0378,11025
138,364.5163,650.2189,19044
90,403.6004,1325.3877,8100
210,894.6472,804.2201,44100
98,818.4835,650.5971,9604
114,466.6469,1471.2231,12996
143,300.4644,1147.4008,20449
112,291.2682,982.1198,12544
155,333.0484,111.6549,24025
96,450.5082,576.0376,9216
144,309.8878,307.0301,20736
56,350.5046,2331.0972,3136
44,529.9862,1900.1821,1936
77,339.0863,1012.3403,5929
55,470.756,1336.8085,3025
141,918.0878,1797.2759,19881
105,432.8993,1105.2298,11025
126,990.9562,1515.9996,15876
125,240.7749,1796.6335,15625
208,841.1182,1718.634,43264
210,450.8494,533.7679,44100
205,44.7257,1313.3612,42025
130,705.8956,997.5255,16900
103,174.9375,219.7234,10609
125,341.808,677.8675,15625
203,534.123,870.8103,41209
165,269.6435,751.0042,27225
83,608.6053,1632.881,6889
163,831.5934,1452.3281,26569
131,272.3418,1046.7469,17161
94,250.0016,1582.0188,8836
61,300.3772,87.2076,3721
80,205.7604,569.3229,6400
59,229.8888,314.3767,3481
71,233.9386,525.47,5041
44,191.2895,190.034,1936
20,185.8071,519.1079,400
35,105.0876,423.5479,1225
27,55.7588,255.5927,729
22,70.6015,249.805,484
13,75.5168,68.3563,169
13,46.0847,173.4655,169
18,48.7,161.4825,324
14,48.9124,156.8893,196
15,35.4283,150.5498,225
13,38.4917,100.5187,169
17,88.8554,133.1122,289
22,143.4612,80.3974,484
23,129.8998,409.5021,529
91,413.3141,411.7989,8281
40,307.7544,655.9766,1600
59,138.5986,497.1322,3481
73,121.0491,550.617,5329
95,385.7365,569.8251,9025
116,203.8847,266.3618,13456
173,452.8611,902.5551,29929
177,246.4785,292.9501,31329
72,749.5156,1754.5758,5184
80,224.265,620.2711,6400
120,328.0268,1294.5848,14400
112,232.4303,255.4744,12544
82,224.6546,665.5929,6724
68,286.2984,591.0907,4624
115,389.0445,799.544,13225
34,548.7355,967.336,1156
29,163.6737,677.7376,841
16,253.5651,747.9048,256
17,95.1925,320.3375,289
18,143.6532,578.0091,324
24,245.2154,421.9392,576
50,183.0859,442.7093,2500
21,255.6233,698.1728,441
68,320.2976,374.0248,4624
74,160.7895,446.6772,5476
85,212.0916,490.2263,7225
111,258.6908,321.3046,12321
70,358.2845,506.2641,4900
70,143.1894,309.5191,4900
72,168.8077,745.4987,5184
117,479.7713,783.15,13689
164,291.94,555.9597,26896
127,357.5846,1045.8391,16129
132,272.2068,738.1389,17424
89,345.6911,834.627,7921
92,179.7404,268.7875,8464
81,178.8213,612.6584,6561
82,320.7225,421.2572,6724
20,429.5748,580.3027,400
44,162.2859,462.7829,1936
45,92.6939,709.4877,2025
12,40.82,174.8257,144
29,197.554,349.4294,841
10,45.5597,68.1455,100
12,26.8513,46.0518,144
30,170.2463,198.582,900
51,132.5391,153.5859,2601
99,293.0759,188.8496,9801
65,262.8139,564.6242,4225
105,261.661,344.3015,11025
128,372.8841,336.0224,16384
187,382.8812,309.1714,34969
176,90.527,618.3291,30976
146,669.7282,1398.2971,21316
84,593.9709,846.3709,7056
140,594.6202,1056.8208,19600
100,320.9081,725.1621,10000
106,335.9235,650.9944,11236
103,141.7466,394.5003,10609
101,501.6228,521.2254,10201
61,371.0952,367.4816,3721
50,271.2815,961.483,2500
18,361.919,539.2757,324
24,240.4917,460.5844,576
27,264.5159,490.3991,729
16,180.8171,208.9179,256
31,138.3351,389.3515,961
50,177.022,357.09,2500
107,431.5555,512.5,11449
97,227.4281,293.6871,9409
141,577.9642,649.6518,19881
128,236.8951,539.7702,16384
56,436.4903,1459.1309,3136
95,248.4491,455.7993,9025
174,569.0456,1431.3195,30276
129,282.6711,722.1853,16641
127,186.6139,970.9906,16129
79,309.9926,122.1076,6241
102,177.8068,337.7394,10404
53,352.7637,167.0138,2809
53,8.1777,266.9032,2809
34,141.6168,370.1145,1156
25,87.9436,138.4419,625
17,94.3007,264.2472,289
19,26.0837,169.9775,361
18,85.6704,138.6894,324
10,70.3474,164.1013,100
23,155.1035,159.0479,529
10,60.4504,178.5225,100
11,69.0953,103.7835,121
40,257.9862,362.5011,1600
36,29.4697,40.2116,1296
47,102.8604,313.0405,2209
42,111.2613,175.653,1764
49,93.4242,170.2694,2401
96,363.1511,477.5032,9216
105,213.6958,320.2867,11025
230,771.2556,764.9545,52900
109,832.1632,1298.3017,11881
104,238.367,1163.2634,10816
128,474.8241,1255.5522,16384
151,271.339,660.4815,22801
84,484.768,1125.0325,7056
98,90.5958,424.6456,9604
76,373.6241,342.7657,5776
58,240.66,394.0401,3364
53,469.437,336.4978,2809
11,275.9683,196.1494,121
33,256.2086,617.3477,1089
34,249.7907,435.7558,1156
64,363.8646,267.4677,4096
115,356.9255,614.4236,13225
192,644.9927,737.0686,36864
122,497.3401,1117.1704,14884
242,970.9508,821.5842,58564
192,365.0774,764.4806,36864
243,762.421,1408.8301,59049
190,798.0354,811.3318,36100
109,627.9585,1833.8325,11881
88,250.0657,1013.7807,7744
35,318.4881,852.4438,1225
24,98.9866,367.4211,576
12,90.761,344.2358,144
13,139.0368,178.608,169
39,168.9175,149.6863,1521
17,159.8411,441.2883,289
55,270.4092,275.3345,3025
72,118.8589,392.3434,5184
127,347.8585,288.8518,16129
89,247.7688,533.2426,7921
116,507.6566,916.9733,13456
135,480.8067,497.5685,18225
195,555.5783,959.2642,38025
190,150.6435,541.1899,36100
63,832.2741,1998.6841,3969
101,355.4889,712.4675,10201
81,340.3177,917.7605,6561
114,234.6141,577.1346,12996
50,413.6081,732.6679,2500
15,233.1494,696.6847,225
39,280.5721,300.4247,1521
96,432.5287,457.8771,9216
53,330.2761,905.7605,2809
125,658.1442,1125.9779,15625
92,221.8867,343.5506,8464
192,605.8506,406.2104,36864
175,243.0297,453.8314,30625
117,391.2353,1479.1416,13689
84,323.5245,634.2763,7056
63,247.1085,434.4986,3969
53,228.2223,216.7902,2809
51,26.9778,395.3088,2601
32,265.3087,367.9894,1024
10,234.9334,312.7365,100
35,237.6234,168.2602,1225
18,155.0703,401.653,324
18,72.5087,447.3468,324
33,204.0888,538.6974,1089
24,91.8864,144.3696,576
22,87.9981,379.4165,484
102,615.0193,855.1919,10404
192,548.9665,939.7926,36864
194,280.7832,1133.5903,37636
168,766.9907,1741.7728,28224
73,537.8624,2466.836,5329
74,191.2909,524.1818,5476
46,688.0682,709.4934,2116
67,199.0309,484.6372,4489
117,434.0233,986.3407,13689
33,621.3381,1227.7868,1089
341,503.3378,1265.4457,116281
213,740.3758,1003.5101,45369
101,580.3222,1203.747,10201
77,198.9526,979.2051,5929
25,416.2409,966.3218,625
26,182.677,816.0506,676
23,109.153,436.7028,529
11,40.6717,25.3112,121
14,17.7825,45.6724,196
16,15.9577,37.2203,256
22,38.025,33.8178,484
20,20.7209,49.8171,400
23,27.125,38.9503,529
22,108.4849,339.7913,484
21,21.5791,31.3221,441
18,33.9864,201.9834,324
16,27.2476,46.6703,256
10,39.7287,71.0133,100
23,122.0023,169.7581,529
40,117.616,198.7258,1600
17,154.5612,404.088,289
46,184.1059,162.8301,2116
15,191.6574,98.5291,225
16,29.5402,261.3513,256
22,44.2015,346.201,484
12,17.601,41.3922,144
15,90.4267,175.9195,225
12,65.0866,100.5521,144
16,99.012,279.3217,256
29,111.4535,128.1425,841
56,167.3992,134.7257,3136
107,303.577,331.8624,11449
59,374.8354,777.0395,3481
136,590.9832,1006.3395,18496
195,447.5754,1094.7528,38025
213,153.6473,686.236,45369
112,805.1329,1835.5654,12544
95,379.7266,742.7872,9025
115,680.1641,778.2538,13225
145,352.5573,740.8107,21025
43,667.8689,1605.2972,1849
101,369.7064,807.0642,10201
89,143.9333,1064.8836,7921
83,116.118,619.8379,6889
29,383.946,484.8852,841
33,192.8779,244.5735,1089
29,379.4794,36.5839,841
15,101.9964,309.6502,225
20,106.7889,666.8304,400
24,193.0241,428.1782,576
44,178.7187,321.8743,1936
29,109.75,412.6105,841
100,492.3975,684.2246,10000
144,782.572,1106.4042,20736
120,275.7948,647.0161,14400
141,305.2829,983.7683,19881
62,640.8418,715.042,3844
156,873.4313,1014.9255,24336
190,216.2352,1270.4658,36100
132,414.1572,1904.9623,17424
79,484.7547,1018.43,6241
70,216.6038,854.2203,4900
68,296.1613,345.9854,4624
56,131.4763,195.456,3136
46,116.5579,411.9031,2116
37,80.1468,123.0609,1369
29,119.8117,168.5596,841
12,106.6858,145.1712,144
20,67.3621,160.59,400
45,370.4414,708.5839,2025
30,151.9348,170.5772,900
25,316.2924,1009.8188,625
11,83.7225,341.9556,121
14,154.0489,696.2191,196
11,31.6715,161.499,121
11,96.2699,321.0482,121
13,21.0987,19.406,169
12,27.94,165.9115,144
32,190.6055,273.4819,1024
25,75.535,101.7087,625
25,63.786,341.9677,625
35,92.7494,243.85,1225
38,117.272,253.561,1444
72,312.5887,498.0527,5184
87,132.1582,191.7702,7569
115,254.5508,450.1578,13225
137,180.5495,264.3301,18769
192,342.0066,445.3558,36864
72,887.1055,1583.0861,5184
66,226.509,569.9109,4356
110,357.6214,1565.0574,12100
94,119.7282,446.7119,8836
88,40.564,588.763,7744
85,314.0512,328.5179,7225
70,360.5145,508.3675,4900
64,183.4061,324.0237,4096
32,212.5061,527.067,1024
43,251.514,290.371,1849
13,257.565,118.7479,169
16,127.9023,448.515,256
10,51.9369,323.2166,100
24,190.1122,464.3388,576
20,99.1148,321.8316,400
74,361.15,555.8745,5476
79,233.9761,286.6836,6241
105,199.6586,584.4094,11025
104,254.8219,719.6809,10816
82,431.2137,630.5185,6724
74,203.8219,93.2047,5476
85,159.0944,471.787,7225
173,557.1586,1073.0724,29929
132,275.7117,594.5363,17424
168,583.7069,1128.1953,28224
138,377.2256,726.0995,19044
91,317.5837,1079.8639,8281
97,347.2267,294.2405,9409
70,202.3495,199.8284,4900
31,235.4852,791.2328,961
43,97.6178,344.1354,1849
12,190.4072,180.457,144
18,183.5945,395.5469,324
26,56.9342,226.4326,676
17,59.4474,363.4703,289
16,42.5254,33.6026,256
14,57.3073,194.194,196
14,62.4513,76.7516,196
11,101.7122,225.251,121
37,157.6663,188.7026,1369
54,107.5803,198.7281,2916
106,320.5302,253.195,11236
54,435.0433,788.0288,2916
92,242.1179,214.5172,8464
94,334.6334,231.332,8836
75,148.1178,488.6152,5625
86,211.1571,226.3116,7396
53,233.3795,153.3866,2809
32,272.4853,554.5668,1024
17,232.145,348.5769,289
28,95.7726,373.9017,784
35,90.3021,255.7257,1225
78,308.2796,443.4474,6084
75,54.5554,216.1063,5625
58,108.1399,616.5082,3364
59,206.1665,352.684,3481
36,260.4369,240.0465,1296
40,142.3556,421.9402,1600
33,110.4481,277.1568,1089
11,132.6152,367.6206,121
48,226.5352,439.663,2304
20,152.1149,565.6406,400
10,63.3808,472.8524,100
26,150.0285,310.6055,676
43,183.8794,369.6706,1849
37,168.0518,475.4642,1369
53,292.6091,552.9654,2809
85,271.3329,493.6007,7225
95,336.6819,681.5515,9025
118,347.2735,388.7681,13924
123,501.8472,1237.9722,15129
128,802.8182,1445.618,16384
118,303.3049,1009.883,13924
136,412.4999,2370.1876,18496
123,145.4967,1327.2079,15129
85,480.6486,1176.6519,7225
60,276.6429,344.4346,3600
48,95.9119,843.1996,2304
28,167.3362,255.6157,784
12,101.1056,59.2613,144
11,83.8311,59.4978,121
11,115.5878,296.4459,121
16,71.9422,196.1635,256
71,421.4698,621.4055,5041
74,28.7292,142.1474,5476
118,685.636,1286.2618,13924
65,897.5526,318.074,4225
66,94.8631,650.4241,4356
47,226.2039,302.2837,2209
15,215.1239,373.3001,225
14,140.0812,321.8242,196
11,34.5655,364.5708,121
14,52.5284,148.9059,196
41,193.9784,305.0347,1681
27,91.1883,213.853,729
22,60.0671,365.3047,484
12,73.357,79.8794,144
10,51.5781,26.8867,100
15,39.149,93.7384,225
26,156.2938,244.9294,676
41,104.8715,206.5339,1681
76,229.91,242.3722,5776
70,106.0015,268.4128,4900
38,197.1917,639.2854,1444
10,201.9514,318.463,100
35,157.237,471.9044,1225
18,130.0584,300.5006,324
50,348.6279,676.7878,2500
20,193.9855,376.9288,400
44,160.7298,381.729,1936
47,220.5664,157.0087,2209
16,191.1894,518.4528,256
52,404.2311,920.0164,2704
65,110.2807,317.507,4225
41,176.2806,817.6435,1681
40,43.3571,163.6753,1600
19,334.6715,446.5477,361
26,219.7329,327.7187,676
12,44.2489,288.2228,144
29,179.8648,270.3109,841
42,113.9708,195.1311,1764
36,131.2702,396.502,1296
35,45.6883,217.5431,1225
25,112.3808,191.3079,625
45,205.6033,339.2283,2025
26,112.793,303.2613,676
39,79.1121,252.4325,1521
25,359.5981,370.6783,625
16,57.8398,75.9106,256
11,39.5693,114.8005,121
15,59.5384,114.8954,225
29,89.347,176.9202,841
33,63.029,117.2772,1089
17,100.7246,270.4581,289
49,221.0784,242.783,2401
34,100.1482,57.6676,1156
33,99.0071,396.9891,1089
13,217.087,325.5458,169
36,216.353,364.7292,1296
28,53.2885,293.7788,784
26,19.2377,345.1294,676
10,167.6147,207.6571,100
13,61.6626,108.8671,169
29,99.0314,174.605,841
121,594.3851,828.7956,14641
86,208.3384,428.1516,7396
27,357.6055,1423.3644,729
12,41.5469,568.064,144
12,135.6341,310.3243,144
14,85.5131,85.3142,196
