 velKR, accKR, jerKR, weiKR
36,272.3257,983.1253,1296
141,635.09,1306.2975,19881
81,484.6835,747.3954,6561
41,282.2561,1296.0866,1681
67,236.4599,798.1747,4489
44,227.2439,181.3573,1936
33,108.267,368.3389,1089
35,172.0186,119.3468,1225
18,155.3064,344.7326,324
58,347.3735,495.427,3364
69,74.2837,327.1864,4761
174,822.0046,1254.3865,30276
45,776.9569,1217.1314,2025
48,155.0807,1386.7121,2304
68,221.4431,1463.739,4624
62,144.0526,403.5601,3844
47,152.9096,552.6723,2209
29,117.1767,221.9351,841
28,91.2015,341.2135,784
23,30.6406,130.9477,529
24,54.8351,77.1266,576
16,60.9098,122.5831,256
15,92.8922,135.3106,225
13,29.4437,72.4428,169
26,91.2795,78.8154,676
19,117.9449,134.9892,361
14,32.1612,166.2855,196
14,86.3802,118.9281,196
15,100.458,138.6817,225
23,95.4754,13.6431,529
37,85.0326,214.4857,1369
31,192.5256,429.0784,961
45,98.7165,146.6405,2025
82,293.993,572.6087,6724
87,165.0718,300.24,7569
68,167.6707,672.9895,4624
75,187.2243,423.3411,5625
89,229.8648,248.5612,7921
99,569.832,910.6302,9801
88,232.8274,167.873,7744
82,190.6086,1139.2671,6724
20,491.9575,940.5753,400
28,229.1596,247.5983,784
18,166.1639,574.1649,324
31,127.3007,185.904,961
37,348.4624,421.5178,1369
26,149.7287,139.9702,676
49,180.6131,530.8259,2401
69,126.9028,296.9271,4761
104,247.3341,197.5512,10816
81,261.6752,572.6659,6561
67,88.3512,503.5023,4489
84,127.8811,376.3198,7056
51,210.634,208.0098,2601
45,36.1867,242.563,2025
55,62.2345,406.2899,3025
23,203.6621,265.1554,529
28,76.4296,133.1157,784
23,66.1778,311.7562,529
20,57.765,195.4583,400
15,74.1137,153.5659,225
15,54.6077,165.521,225
16,60.8556,60.1124,256
14,20.1672,94.4236,196
12,15.3755,87.4539,144
18,41.4564,89.8103,324
15,109.1783,165.7797,225
12,49.0113,66.0768,144
20,50.0382,35.8459,400
50,188.6246,215.9565,2500
35,246.3161,422.4682,1225
73,283.7638,564.7238,5329
83,222.1126,626.035,6889
91,255.3851,722.7923,8281
79,137.9085,401.9443,6241
112,262.7378,601.7136,12544
73,449.7022,694.0546,5329
91,429.8653,826.9678,8281
51,244.0952,566.6396,2601
127,563.7288,1290.3028,16129
102,786.2475,1300.4247,10404
47,891.2941,1588.9165,2209
23,160.9031,1155.2703,529
13,99.4292,1416.748,169
