timestamp, velUL, velUR, velKL, velKR, velHL, velHR,accUL, accUR, accKL, accKR, accHL, accHR,jerUL, jerUR, jerKL, jerKR, jerHL, jerHR,weiUL, weiUR, weiKL, weiKR, weiHL, weiHR,CI
27:12.5,15,21,1,0,1,7,28.2906,5.7872,31.6946,141.5698,27.6962,288.3308,125.3889,304.5702,123.3033,408.8422,137.0029,765.3973,225,441,1,0,1,49,0.98
27:12.6,11,7,1,4,1,12,27.7111,84.3264,4.0549,30.9583,8.5417,30.9887,95.2643,107.7892,112.8181,24.768,62.6813,72.386,121,49,1,16,1,144,0.99
27:12.6,8,7,7,2,14,3,16.2181,4.0076,39.1337,13.8677,80.5376,61.5389,53.4334,12.5964,68.2765,232.2838,125.6636,523.6195,64,49,49,4,196,9,0.99
27:12.7,5,0,5,12,13,34,22.1058,46.0203,19.349,92.9974,22.8171,224.5482,22.5174,58.5125,34.6257,185.2427,43.7904,382.4248,25,0,25,144,169,1156,1
27:12.8,6,0,3,8,4,17,19.0061,3.9091,25.971,29.0608,58.2181,103.6911,46.0838,10.6382,97.4714,63.2213,208.1301,247.4084,36,0,9,64,16,289,1
27:12.9,6,2,7,3,12,1,17.1476,12.7194,49.8753,31.0353,91.7822,99.8428,44.3549,53.0574,65.4799,185.671,124.5182,485.3681,36,4,49,9,144,1,1
27:12.9,2,4,1,4,3,13,27.0737,16.842,44.8187,13.6049,88.2862,74.2817,67.414,19.542,105.1457,60.4422,219.6805,266.662,4,16,1,16,9,169,1
27:13.0,2,3,3,2,3,8,5.3102,7.0602,24.1855,40.3749,33.6236,133.2822,23.9247,24.435,39.8578,17.5896,87.7395,52.7472,4,9,9,4,9,64,1
27:13.1,2,3,0,2,2,1,9.3153,8.9471,18.3643,12.7519,17.1361,57.5566,29.9489,26.9912,40.0254,20.1399,108.5315,26.1808,4,9,0,4,4,1,1
27:13.1,3,5,2,1,10,6,19.1156,17.905,18.8407,14.0034,65.4206,37.9241,30.395,29.227,62.2212,58.7525,146.8286,151.2397,9,25,4,1,100,36,1.01
27:13.2,7,3,5,1,16,5,20.554,22.1086,19.3847,9.5455,35.0859,60.2267,20.8252,44.8971,4.9168,20.665,28.4151,20.8903,49,9,25,1,256,25,1.01
27:13.2,5,2,6,1,11,13,9.3432,13.5911,4.4308,17.3631,28.1447,52.9919,42.4534,29.8219,22.034,32.4806,139.1768,133.5977,25,4,36,1,121,169,1.01
27:13.3,0,2,0,0,1,1,30.7947,10.8987,36.2931,11.5011,77.041,79.2899,76.8513,21.833,83.3769,22.8291,167.8965,208.1049,0,4,0,0,1,1,1.01
27:13.4,0,4,0,0,2,4,7.9924,13.9103,5.9418,3.1629,8.4447,17.5431,7.5456,39.4375,15.1585,30.4725,34.2348,97.505,0,16,0,0,4,16,1.01
27:13.4,1,1,0,2,3,5,12.5522,21.5239,5.5503,17.9267,27.0503,37.1072,51.7144,47.3293,56.1577,44.0967,133.8525,173.4257,1,1,0,4,9,25,1.01
27:13.5,1,0,0,0,2,3,5.3619,3.7771,3.3521,13.4139,8.2379,26.4655,17.124,23.9758,5.9463,15.4082,18.5555,31.5604,1,0,0,0,4,9,1.01
27:13.5,0,1,0,2,2,9,9.3425,8.62,4.4188,16.1543,14.2323,48.5349,30.974,42.8056,4.874,4.0353,43.4757,24.9105,0,1,0,4,4,81,1.01
27:13.6,0,3,3,0,3,2,9.0538,9.7996,18.4955,13.3001,10.9641,46.1104,17.8474,20.1914,32.6449,3.8746,19.6871,31.6548,0,9,9,0,9,4,1.01
27:13.7,5,3,4,4,0,13,29.5219,13.4722,14.1601,25.4338,22.6936,73.8328,57.1119,26.2579,22.5265,17.9157,53.7984,39.6359,25,9,16,16,0,169,1.01
27:13.7,7,21,5,0,2,2,15.9605,110.0352,9.313,30.4454,14.087,96.8693,29.0381,155.6888,23.7097,27.1073,27.7675,76.2124,49,441,25,0,4,4,1.01
27:13.8,5,20,2,9,0,21,27.8374,11.5426,21.5074,59.7738,15.6925,142.7196,81.1713,25.5214,42.8261,52.5966,35.8519,103.812,25,400,4,81,0,441,1.01
27:13.8,11,26,2,7,4,11,32.1512,55.5698,9.7991,21.6902,25.7703,65.4683,27.7695,131.421,7.738,22.3903,22.3785,64.017,121,676,4,49,16,121,1.01
27:13.9,8,20,1,6,7,12,56.8617,56.0387,17.6707,19.711,55.9811,15.0544,85.1807,73.2302,7.9663,95.1068,61.3225,206.5173,64,400,1,36,49,144,1.02
27:13.9,16,13,16,3,45,7,80.4305,81.4437,98.4512,41.3827,247.1435,42.6559,112.6342,176.012,149.069,50.8174,346.369,79.1857,256,169,256,9,2025,49,1.03
27:14.0,20,30,22,4,41,3,89.4752,106.7853,69.2466,13.5761,140.7348,45.5221,186.2493,195.4706,130.1479,34.8915,293.8936,80.167,400,900,484,16,1681,9,1.04
27:14.1,28,38,18,4,46,2,92.4122,72.8901,44.4515,4.1704,127.486,10.2568,139.2936,104.0802,172.8433,63.7673,342.641,76.1429,784,1444,324,16,2116,4,1.06
27:14.1,23,45,9,4,25,29,41.3424,43.0966,67.1108,35.1322,131.9271,176.5157,115.9101,104.4975,192.9589,72.5319,260.4602,332.3626,529,2025,81,16,625,841,1.08
27:14.2,25,39,20,13,49,44,46.5034,126.3343,62.3755,61.3447,142.6606,87.6147,176.0643,237.971,115.5696,88.9807,178.4364,116.9754,625,1521,400,169,2401,1936,1.09
27:14.3,17,38,6,2,18,3,54.2497,168.1985,152.0681,66.4976,402.7588,248.9121,42.6495,273.0596,195.468,151.0491,431.2315,637.8086,289,1444,36,4,324,9,1.08
27:14.3,10,45,6,11,17,29,89.2868,88.7098,3.372,55.4744,21.2856,159.9113,180.4834,123.4824,93.7231,12.4863,211.3303,108.6733,100,2025,36,121,289,841,1.08
