 velKL, accKL, jerKL, weiKL
36,52.1738,3942.4903,1296
28,381.3343,475.9804,784
54,269.2788,371.6526,2916
109,392.3931,55.5207,11881
71,489.4692,1121.8314,5041
255,1115.8771,1293.6105,65025
383,1211.5481,1134.3538,146689
55,1284.5765,982.8374,3025
121,417.9329,1646.8031,14641
82,241.3053,999.675,6724
67,101.9898,703.7224,4489
51,121.5005,197.9502,2601
62,177.2639,293.9801,3844
43,163.8876,224.1399,1849
36,77.371,375.3807,1296
33,57.7539,216.7185,1089
60,162.5372,303.4243,3600
64,138.6219,167.636,4096
11,321.0485,710.0682,121
10,82.942,135.6378,100
21,123.7571,195.735,441
62,250.6172,369.3404,3844
30,201.2341,479.0595,900
38,72.7659,336.3446,1444
36,24.7775,304.031,1296
86,299.4496,367.4166,7396
17,414.532,607.6124,289
48,201.6676,273.6193,2304
54,137.9287,596.9514,2916
294,2010.6267,3276.7518,86436
68,1354.6805,2090.9779,4624
473,1272.8639,2211.8411,223729
107,1153.5884,3615.5209,11449
37,429.1547,1981.2039,1369
36,200.5038,395.8291,1296
82,280.3712,92.3942,6724
79,383.0993,733.7168,6241
13,440.0951,941.2398,169
16,125.9816,554.5333,256
30,109.549,686.0914,900
36,211.7171,421.9895,1296
46,75.9225,157.3225,2116
50,109.9803,437.6747,2500
34,194.7016,405.3081,1156
31,106.5186,308.1468,961
33,28.1761,329.1227,1089
30,39.9318,156.3258,900
59,172.4947,240.6153,3481
42,112.7731,149.3256,1764
28,96.8907,389.1981,784
16,108.0449,23.5428,256
12,33.7956,133.8372,144
11,87.6722,117.4841,121
23,135.0911,205.2982,529
49,158.6651,233.6911,2401
37,72.282,310.9133,1369
24,88.5737,366.8318,576
46,139.1149,316.122,2116
66,154.1547,305.4837,4356
80,100.9501,166.7107,6400
44,229.5759,528.5619,1936
139,573.2465,736.8458,19321
67,979.7223,1147.9782,4489
354,2026.5136,3893.996,125316
316,1142.8091,1380.4942,99856
133,641.0336,1092.5258,17689
58,511.6231,1481.9771,3364
25,243.6744,1091.7991,625
21,99.3408,681.4963,441
15,156.8147,359.5472,225
31,201.4576,346.5379,961
82,311.1177,355.8834,6724
61,203.3606,587.6662,3721
179,723.5771,743.5081,32041
211,748.459,848.0723,44521
356,1303.8786,2379.7303,126736
46,1376.2276,567.8991,2116
48,200.157,1807.7109,2304
59,85.06,394.0462,3481
89,262.0257,230.7935,7921
65,149.4202,342.5694,4225
62,50.7021,398.2163,3844
47,101.6115,87.9844,2209
37,135.1247,141.1305,1369
55,138.6105,348.5868,3025
65,63.7624,274.4468,4225
64,31.6068,230.7424,4096
135,454.1746,615.7378,18225
104,447.292,649.7562,10816
148,274.6362,325.4053,21904
126,480.7009,905.785,15876
153,619.4634,1239.694,23409
171,441.4974,1263.2588,29241
158,387.0182,570.5518,24964
195,524.9282,1191.6198,38025
137,722.0241,1056.2784,18769
117,206.1485,999.0101,13689
67,416.3899,1041.0169,4489
83,185.6303,575.486,6889
71,172.4308,470.6906,5041
75,206.0224,575.9551,5625
37,376.2251,548.0773,1369
36,216.3753,255.754,1296
79,279.2975,333.4288,6241
72,288.1389,653.3968,5184
104,341.4416,337.6677,10816
142,546.6059,1024.3029,20164
196,770.6133,1555.479,38416
210,757.9922,1153.117,44100
106,652.9134,1545.7511,11236
170,742.4319,1299.1185,28900
170,158.4335,876.9606,28900
192,454.845,827.1406,36864
180,338.7237,519.4859,32400
144,382.1702,1033.4741,20736
82,372.9774,785.9581,6724
133,413.2197,609.6129,17689
175,1830.2108,2238.7978,30625
160,333.9096,909.6023,25600
38,851.194,3957.6095,1444
34,536.2668,1896.6686,1156
99,392.3369,380.1502,9801
104,127.2649,762.7808,10816
85,319.4969,985.8851,7225
163,438.8289,3997.5899,26569
143,271.8099,547.0958,20449
159,329.7847,554.6549,25281
147,84.2521,504.9387,21609
162,292.6289,154.2322,26244
213,809.7853,1186.8853,45369
189,166.5463,686.8492,35721
115,648.1537,1765.8447,13225
156,383.0934,819.8548,24336
123,220.3319,764.7321,15129
92,411.7385,984.5996,8464
107,107.7652,417.1622,11449
36,486.9271,734.1656,1296
36,162.3001,234.9119,1296
38,134.6222,776.9109,1444
50,132.4792,406.8511,2500
52,114.8328,281.8056,2704
15,305.7771,617.7979,225
25,98.15,204.4919,625
49,216.3876,222.7026,2401
32,105.0467,304.2168,1024
91,365.0986,257.9761,8281
107,590.8717,944.5191,11449
156,499.7419,915.5265,24336
206,574.7987,1307.8088,42436
156,652.2431,1632.8859,24336
94,660.9269,1189.7954,8836
95,105.2411,949.7165,9025
123,458.0682,1533.3468,15129
88,372.5435,713.5605,7744
75,112.5358,823.787,5625
